complaint_type,requests,median_response_hours,p90_response_hours,within_48h_rate
Noise - Residential,7342,0.6090277777777777,2.287472222222224,0.9994551893217107
Illegal Parking,4912,1.4752777777777777,6.517194444444445,0.9997964169381107
HEAT/HOT WATER,3880,36.60680555555555,67.98425,0.729381443298969
Noise - Commercial,2889,0.4613888888888889,1.478666666666667,1.0
Blocked Driveway,1726,1.5995833333333334,6.9494444444444445,0.9988412514484357
Noise - Street/Sidewalk,1487,0.48055555555555557,1.6348333333333347,1.0
Noise,1003,21.966666666666665,136.42000000000004,0.7088733798604188
Noise - Vehicle,844,0.5065277777777778,1.8967777777777792,1.0
