agency,requests,median_response_hours,p90_response_hours,within_48h_rate
NYPD,20349,0.7036111111111111,3.9825555555555567,0.999656002751978
HPD,5756,42.64208333333333,299.84472222222223,0.5588950660180682
DEP,1334,20.625,126.3416666666667,0.7376311844077961
DOT,972,12.510972222222222,205.70002777777776,0.6625514403292181
DSNY,785,34.61666666666667,272.12822222222223,0.5923566878980892
DOHMH,698,12.085,122.402944444445,0.7349570200573066
DOB,360,95.91722222222222,790.3173055555555,0.3972222222222222
DCWP,96,35.184305555555554,723.8930555555555,0.5625
