borough,requests,median_response_hours,p90_response_hours,within_48h_rate
BROOKLYN,9068,1.2695833333333333,68.28033333333335,0.8679973533303926
QUEENS,7659,1.7202777777777778,57.73194444444442,0.8938503721112416
MANHATTAN,6882,0.68,81.06350000000005,0.8430688753269399
BRONX,6325,3.1925,84.64911111111115,0.841106719367589
STATEN ISLAND,678,0.768888888888889,55.72350000000003,0.8923303834808259
Unspecified,14,19.591805555555556,599.5463611111117,0.5714285714285714
