created_day,median_response_hours,p90_response_hours,within_48h_rate,requests,weekday,forecast_requests,absolute_pct_error,volume_z_score,volume_anomaly
2024-01-01,0.7713888888888889,33.50083333333334,0.9425287356321839,7224,Monday,8953.8,0.2394518272425248,-2.6539031828745574,False
2024-01-02,1.1820833333333334,58.072555555555596,0.8625730994152047,9413,Tuesday,8995.6,0.04434292999043871,0.700895424371558,False
2024-01-03,2.742916666666667,167.8986111111111,0.8545454545454545,9436,Wednesday,9311.1,0.013236540907164014,0.2438916088818555,False
2024-01-04,1.9783333333333333,64.74638888888889,0.8768328445747801,9686,Thursday,9407.8,0.028721866611604453,0.4834084803846654,False
2024-01-05,8.110972222222223,87.7697500000001,0.8088235294117647,9799,Friday,8818.2,0.10009184610674551,1.5811550812840307,False
2024-01-06,1.3827777777777777,68.87630555555559,0.7894736842105263,7739,Saturday,7430.3,0.039888874531593205,0.5310618696921372,False
2024-01-07,0.9675,44.275999999999996,0.9026548672566371,6651,Sunday,7522.9,0.13109306871147192,-1.3135148980587774,False
2024-01-08,1.4894444444444446,70.99388888888889,0.8694267515923567,9627,Monday,8953.8,0.06992832658148963,1.100558932071614,False
2024-01-09,4.2575,60.76972222222222,0.8735294117647059,9519,Tuesday,8995.6,0.054984767307490245,0.8665104822926126,False
2024-01-10,10.26875,321.50097222222223,0.6707317073170732,10847,Wednesday,9311.1,0.14159675486309575,2.4484467666800445,False
2024-01-11,1.8897222222222223,53.867888888888935,0.8902077151335311,9555,Thursday,9407.8,0.01540554683411834,0.27873326729355075,False
2024-01-12,1.5830555555555557,125.38666666666673,0.8075801749271136,8787,Friday,8818.2,0.0035506998975760474,0.0,False
2024-01-13,1.9083333333333334,85.82822222222225,0.7863777089783281,7382,Saturday,7430.3,0.006542942292061796,-0.02671714613632022,False
2024-01-14,0.9088888888888889,67.25311111111112,0.8279883381924198,8037,Sunday,7522.9,0.06396665422421306,0.8519801045693515,False
2024-01-15,2.629722222222222,65.42755555555556,0.7867435158501441,9085,Monday,8953.8,0.014441386901486046,0.25373476798471234,False
2024-01-16,14.265555555555554,114.60258333333334,0.7544378698224852,9561,Tuesday,8995.6,0.05913607363246519,0.9321315429783135,False
2024-01-17,7.439305555555555,67.62788888888889,0.7823529411764706,11558,Wednesday,9311.1,0.19440214569994807,3.559317579716552,True
2024-01-18,0.6908333333333333,60.897166666666664,0.8849557522123894,12460,Thursday,9407.8,0.24495987158908514,4.817523298054528,True
2024-01-19,4.658333333333333,116.5740555555558,0.7259036144578314,9280,Friday,8818.2,0.04976293103448268,0.7702662599535841,False
2024-01-20,1.5179166666666668,87.99525,0.7543859649122807,8116,Saturday,7430.3,0.08448743223262689,1.1200890096566427,False
2024-01-21,2.0143055555555556,82.06625,0.7529411764705882,8691,Sunday,7522.9,0.13440340582211488,1.8737937638181221,False
2024-01-22,5.728611111111111,85.1080555555556,0.803030303030303,10355,Monday,8953.8,0.13531627233220672,2.237990650623763,False
2024-01-23,2.0169444444444444,86.30227777777779,0.8249258160237388,9607,Tuesday,8995.6,0.06364109503487037,1.004002228491224,False
2024-01-24,2.0643055555555554,66.90861111111111,0.8682634730538922,8986,Wednesday,9311.1,0.03617849988871582,-0.45919118417922533,False
2024-01-25,2.4733333333333336,118.57686111111119,0.8421052631578947,9459,Thursday,9407.8,0.005412834337667907,0.1287422714405202,False
2024-01-26,3.1125,139.95888888888888,0.7833827893175074,9160,Friday,8818.2,0.03731441048034927,0.5827775151372959,False
2024-01-27,0.69375,46.94402777777779,0.9029411764705882,7953,Saturday,7430.3,0.06572362630453915,0.8654167979478512,False
2024-01-28,0.7902777777777777,36.67666666666666,0.9321533923303835,7262,Sunday,7522.9,0.035926741944367895,-0.35888470570251,False
2024-01-29,1.0716666666666668,68.9961111111111,0.8731117824773413,9740,Monday,8953.8,0.08071868583162226,1.2771108334402856,False
2024-01-30,3.838888888888889,57.51833333333333,0.8869047619047619,9850,Tuesday,8995.6,0.086741116751269,1.3836669367442076,False
2024-01-31,2.4608333333333334,23.362361111111113,0.9411764705882353,9353,Wednesday,9311.1,0.00447984603870412,0.11421189371725614,False
2024-02-01,1.3740277777777778,47.59166666666667,0.8988095238095238,9576,Thursday,9407.8,0.01756474519632422,0.3115437976364012,False
2024-02-02,1.4994444444444444,91.51811111111111,0.8434782608695652,8445,Friday,8818.2,0.0441918294849024,-0.5343429227264215,False
2024-02-03,0.8616666666666667,55.56722222222225,0.8931750741839762,7352,Saturday,7430.3,0.010650163220892298,-0.07358933234039228,False
2024-02-04,0.6641666666666667,29.49,0.9616519174041298,7162,Sunday,7522.9,0.05039095224797537,-0.5151253263827502,False
